text,,,,,,,,,,,,,,,,,,,,,Label
2010 Men s Final Four NIKE Duke Blue Devils Champions Locker Room Cap,,,,,,,,,,,,,,,,,,,,,1
Foot Locker No soccer shoes Of course not It s Soccer West or amazon then,,,,,,,,,,,,,,,,,,,,,1
Amazon Save Big in Toy A Childsupply Coat Locker No F8061,,,,,,,,,,,,,,,,,,,,,1
Check out this Amazon deal The Complete Idiot s Guide to Amazing Sex Third Edi by Sari Locker Paperback Au,,,,,,,,,,,,,,,,,,,,,0
ahh now I ll have to wait until Hurt Locker is in my netflix queue was going to rent on Amazon,,,,,,,,,,,,,,,,,,,,,1
locker mirror magnetic pen holder for my locker Amazon is deadly,,,,,,,,,,,,,,,,,,,,,0
This Amazon free for all is the Nerd Twitter version of a post championship locker room champagne sprayathon It is geek crazy up in here,,,,,,,,,,,,,,,,,,,,,0
Getting ready to watch The Hurt Locker If more best picture nominees were on Amazon com I d watch more,,,,,,,,,,,,,,,,,,,,,1
Amazon deal Witz GPS Locker,,,,,,,,,,,,,,,,,,,,,1
The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 41 days in the top 100,,,,,,,,,,,,,,,,,,,,,1
Just found The Hurt Locker and A Serious Man on Amazon com,,,,,,,,,,,,,,,,,,,,,0
Amazon s Most Gifted The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 40 days in the top 100,,,,,,,,,,,,,,,,,,,,,1
Just bought The Hurt Locker Amazon so I can see what all the fuss is about The question now is will I get it before it s Oscar Time,,,,,,,,,,,,,,,,,,,,,1
Snowing sunny odd Found my heart rate monitor yay was indeed in my locker Came home to a box of books from Amazon day s looking up,,,,,,,,,,,,,,,,,,,,,0
Just saw this on Amazon New Orleans Saints Super Bowl XLIV Champions Reebok Official Locker Room Flex Fit Hat,,,,,,,,,,,,,,,,,,,,,1
Amazon Save Big in Toy Avenir Seat Locker 3mm 2 feet,,,,,,,,,,,,,,,,,,,,,1
New Orleans Saints Super Bowl XLIV Champions Locker Room Tee,,,,,,,,,,,,,,,,,,,,,1
New Orleans Saints Super Bowl XLIV Champions Reebok Official Locker Room Long Sleeve T Shirt,,,,,,,,,,,,,,,,,,,,,1
Reebok New Orleans Saints Super Bowl XLIV Champions Locker Room Hat,,,,,,,,,,,,,,,,,,,,,1
New Orleans Saints Super Bowl XLIV Champions Reebok Official Locker Room T Shirt,,,,,,,,,,,,,,,,,,,,,1
Hurt Locker District 9 blu rays from Amazon Sticker on the District 9 case What are you waiting for try it in blu ray erm,,,,,,,,,,,,,,,,,,,,,1
Amazon s Most Gifted New Orleans Saints Super Bowl XLIV Champions Reebok Official Locker Room Flex Fit Hat Ne,,,,,,,,,,,,,,,,,,,,,1
New Orleans Saints Super Bowl XLIV Champions Reebok Official Locker Room Long Sleeve T Shirt X Large,,,,,,,,,,,,,,,,,,,,,1
RT Internet New Orleans Saints Super Bowl XLIV Champions Reebok Official Locker Room T Shirt Large,,,,,,,,,,,,,,,,,,,,,1
Best Buy ranked No 1 in mobile homepage performance Walmart Amazon Foot Locker other high scorers,,,,,,,,,,,,,,,,,,,,,1
Most recent purchase on Amazon Blu ray version of The Hurt Locker I hope it s worth it,,,,,,,,,,,,,,,,,,,,,1
Watched Hurt Locker in HD using Amazon Unbox and my Blu Ray player Looked worked pretty good considering it was streamed over the web,,,,,,,,,,,,,,,,,,,,,1
Digital media chaos reigns Xbox Zune MS doesn t have Hurt Locker fortunately Amazon Roku does,,,,,,,,,,,,,,,,,,,,,1
I would spend my 50 Amazon gift card from on new blu rays maybe Zombieland Hurt Locker,,,,,,,,,,,,,,,,,,,,,1
New Orleans Saints 2009 NFC Conference Champions Locker Room Hat,,,,,,,,,,,,,,,,,,,,,1
Reebok New Orleans Saints 2009 Conference Championship Locker Room Hat,,,,,,,,,,,,,,,,,,,,,1
New Orleans Saints 2009 NFC Conference Champions Reebok Locker Room Organic T Shirt X Large,,,,,,,,,,,,,,,,,,,,,1
Purchased another Sci Fi film Pandorum on blu ray and also purchased The Hurt Locker W00T Hopefully Amazon ships fast,,,,,,,,,,,,,,,,,,,,,1
Just saw this on Amazon New York Yankees Adult Locker Room Tee by Majestic for 21 95,,,,,,,,,,,,,,,,,,,,,1
Amazon Save Big in Toy A Childsupply Toddler 5 section Coat Locker,,,,,,,,,,,,,,,,,,,,,1
Dallas Cowboys 2009 NFC East Division Champs Locker Room Cap Hat,,,,,,,,,,,,,,,,,,,,,1
Amazon sale items Fits American Girl Locker 18 Doll Clothes Burgundy Princess Dress with W,,,,,,,,,,,,,,,,,,,,,1
RT Wizards say Arenas had firearms in locker,,,,,,,,,,,,,,,,,,,,,1
Wizards say Arenas had firearms in locker,,,,,,,,,,,,,,,,,,,,,1
Just saw this on Amazon New Era San Francisco Giants MLB10 World Series Locker Room 3930 Cap by New Era for 25 00,,,,,,,,,,,,,,,,,,,,,1
My Life in Key West Today s Amazon Kindle legal blog Men In Women s Sports Locker Rooms Published by Key West Lou Law,,,,,,,,,,,,,,,,,,,,,1
MAGNETIC DRY ERASE BOARD MIRROR by LOCKER CULTURE  via,,,,,,,,,,,,,,,,,,,,,0
Amazon sale items Fits American Girl Locker 18 Doll Clothes Burgundy Princess Dress with T,,,,,,,,,,,,,,,,,,,,,1
Locker Sadly am unable to see most of his work Marple is available at Amazon just may have to order Have you seen yet,,,,,,,,,,,,,,,,,,,,,1
RT rubenstein Just pre ordered the Jake Locker His Holiday Bowl Completions DVD Amazon says it will arrive never ever,,,,,,,,,,,,,,,,,,,,,1
play com amazon asos they are sik and foot locker,,,,,,,,,,,,,,,,,,,,,1
Holiday Raymond Geddes Locker Buddies 12 Pack 67365 by Raymond Geddes 1 213 Sale Lowest Price@Amazon,,,,,,,,,,,,,,,,,,,,,1
I want it deposited into my locker by noon tomorrow Preferably to The Gap but I d also take Amazon com or Office Max,,,,,,,,,,,,,,,,,,,,,1
Holiday New Era San Francisco Giants MLB10 World Series Locker Room 3930 Cap by New Lowest Price@Amazon,,,,,,,,,,,,,,,,,,,,,1
Amazon Up to 75 off Beck International Childrens Furniture Sale  Wooden Gym Locker Only 15 reg 60 More,,,,,,,,,,,,,,,,,,,,,1
Holiday Men s San Francisco Giants 2010 World Series Champions Locker Room Long Sle Lowest Price@Amazon,,,,,,,,,,,,,,,,,,,,,0
Great deal on Amazon The Complete Idiot s Guide to Amazing Sex Third Edition by Sari Locker Paperback Au,,,,,,,,,,,,,,,,,,,,,1
Holiday Men s San Francisco Giants 2010 World Series Champions Locker Room Basic Te Lowest Price@Amazon,,,,,,,,,,,,,,,,,,,,,1
Cyber Week Men s San Francisco Giants 2010 World Series Champions Locker Room Basic Buy Cheap at Amazon,,,,,,,,,,,,,,,,,,,,,1
Cyber Week New Era San Francisco Giants MLB10 World Series Locker Room 3930 Cap by Buy Cheap at Amazon,,,,,,,,,,,,,,,,,,,,,1
ditto Barnes Noble Amazon record labels iTunes Foot Locker Zappos Blockbuster Netflix newspapers craigslist,,,,,,,,,,,,,,,,,,,,,1
Get Him to the Greek BR 14 99 The Hurt Locker BR 14 99 Hot Tub Time Machine BR 12 99 from Amazon,,,,,,,,,,,,,,,,,,,,,1
High School Musical 2 CD Locker not,,,,,,,,,,,,,,,,,,,,,1
cuzzzzz now I know where I can get the album I want forget amazon and eBay mp3 locker is the best,,,,,,,,,,,,,,,,,,,,,1
select the Morehouse Junior Class Shop Online retailers including Amazon Foot Locker Banana Republic etc,,,,,,,,,,,,,,,,,,,,,1
Check out this Amazon deal The Complete Idiot s Guide to Amazing Sex Third Ed by Sari Locker Paperback Au,,,,,,,,,,,,,,,,,,,,,0
Los Angeles Lakers 2010 NBA Finals Champions Official Locker Room Flex Fit Hat  via,,,,,,,,,,,,,,,,,,,,,1
Great deal on Amazon Kingston Data Traveler Locker with Encryption 16 GB USB 2 0 Hi by Kingston H Corporation,,,,,,,,,,,,,,,,,,,,,1
Yeah puttin a lock on ma mutha fukkn locker now Fuck that RT REIGN Amazon that s a mothafukkin shame ma,,,,,,,,,,,,,,,,,,,,,0
Youth Sports Locker is selling on AMAZON Com Check out the latest Gear Gaurd Equipment Bags All New DINGERXL for the Baseball Player,,,,,,,,,,,,,,,,,,,,,1
2011 Magnetic Locker Refrigerator Calendar 16 Months Sept 2010 Dec 2011 by L  via,,,,,,,,,,,,,,,,,,,,,1
I want a one hundred dollar gift card deposited into my locker by noon tomorrow Preferably to The Gap but I d also take Amazon com,,,,,,,,,,,,,,,,,,,,,1
Mike Richards Signed Philadelphia Flyers Jersey Jsa Coa by Locker Room Authentics  via,,,,,,,,,,,,,,,,,,,,,1
Check out Jester s Down and Locker 6T3 on Amazon Couple novels I wrote years ago Read one already How was it,,,,,,,,,,,,,,,,,,,,,0
Check out Jester s Down and Locker 6T3 on Amazon Couple novels I wrote years ago,,,,,,,,,,,,,,,,,,,,,0
Banana Republic Amazon Brooks Brothers Foot Locker Wal Mart Orbitz and Starbucks are just a couple of the online retailers available,,,,,,,,,,,,,,,,,,,,,1
Specifically I cant get Hurt Locker for rental from iTunes Amazon or Netflix Double feh,,,,,,,,,,,,,,,,,,,,,1
Kid s Locker Collection Multi Color TV Stand with Drawers newly tagged furniture,,,,,,,,,,,,,,,,,,,,,1
LockerWorks Hanging Locker Organizer Royal blue green,,,,,,,,,,,,,,,,,,,,,0
Game Box Locker for Wii Xbox 360 and PS3 Game Boxes Released today,,,,,,,,,,,,,,,,,,,,,0
carbonite for those backups although the digital locker at Amazon should have music too not just books,,,,,,,,,,,,,,,,,,,,,1
Great deal on Amazon Coin Locker Babies by Ryu Murakami Paperback A,,,,,,,,,,,,,,,,,,,,,1
Locker Kit Color Vary,,,,,,,,,,,,,,,,,,,,,1
I love it when the little guy takes on the giant and wins Book Locker conquered Amazon Impressive,,,,,,,,,,,,,,,,,,,,,1
hey i m trying to return an item via a locker but it says all lockers in NYC are full please advise,,,,,,,,,,,,,,,,,,,,,1
So I bought something from amazon and chose to have it sent to a pick up locker at a location since I wasnt sure if I would be back in town in time Well its arrived with instructions and I pick it up tomorrow Well see how this goes,,,,,,,,,,,,,,,,,,,,,1
Just found out we finally got an Amazon Locker 20 minutes away Yeah no it s more convenient for me when they leave the packages in the cluster box across the street but thanks,,,,,,,,,,,,,,,,,,,,,1
Hey is this how this Amazon Locker was named twitter com yAdeOsmFDh,,,,,,,,,,,,,,,,,,,,,1
I don t understand this thing at all Why would someone order something from Amazon and arrange to have it be delivered to a private locker at Whole Foods pic twitter com qZXlhZhePh,,,,,,,,,,,,,,,,,,,,,1
16 OFF 2 Pack Combination Padlock INLIFE 4 Digit Padlock for School Gym Locker Sports Locker Fence Toolbox Case Hasp Storage Black pic twitter com 9daLz2LLp2,,,,,,,,,,,,,,,,,,,,,0
Yeah Amazon were supposed to deliver parcel to a Locker tomorrow and I ve had a notification it s our for delivery now And I m looking at the rain and going Can t you deliver it tomorrow,,,,,,,,,,,,,,,,,,,,,1
Preordered the CD and Amazon wouldn t let me ship it to the Amazon locker at my Whole Foods because the location was already maxed out for shipments to the location I have never seen that,,,,,,,,,,,,,,,,,,,,,1
Leaving the house to get an Amazon package doesn t seem as convenient as getting it delivered but depending on where you live Amazon Locker might be cheaper or faster than regular delivery By ,,,,,,,,,,,,,,,,,,,,,1
16 OFF 2 Pack Combination Padlock INLIFE 4 Digit Padlock for School Gym Locker Sports Locker Fence Toolbox Case Hasp Storage Black pic twitter com OuSHWfdzpc,,,,,,,,,,,,,,,,,,,,,0
AMAZON LOCKER,,,,,,,,,,,,,,,,,,,,,1
Amazon Music informs customers that songs uploaded to its dedicated cloud music locker will be removed on April 30,,,,,,,,,,,,,,,,,,,,,1
seems like the kind of thing Amazon could do too Give everyone free WiFi access for Amazon shopping Prime members could watch Prime Video Buy something in the air and pick it up at a locker at the airport when you land,,,,,,,,,,,,,,,,,,,,,1
Theres an amazon locker at QMC,,,,,,,,,,,,,,,,,,,,,1
ordered to be delivered to the amazon locker at QMC tomorrow I m on call,,,,,,,,,,,,,,,,,,,,,1
Find locker shelf on click here,,,,,,,,,,,,,,,,,,,,,1
73 OFF KeeKit Combination Lock 2 Pack 4 Digit Anti Rust Padlock Set Weatherproof Lock Padlock Gate Lock Gym Lock Locker Lock for School Gym Sports Locker Outdoor S pic twitter com GA4WjYxKoq,,,,,,,,,,,,,,,,,,,,,1
Dear I had chosen no rush shipping but it went 2 day anyways and Im just getting over a stomach bug but based on my inbox I have to crawl to the amazon locker by tomorrow to pick up the item,,,,,,,,,,,,,,,,,,,,,1
Pre order is now available American Politics A Graphic Guide by Laura Locker  via,,,,,,,,,,,,,,,,,,,,,1
Fieri follows a locker to be commentating on amazon all I am a gamble and turns out of the word peepo turning into,,,,,,,,,,,,,,,,,,,,,1
Had to go to the only downtown to p u package from locker God I hate Could we get more lockers downtown south of Bloor please,,,,,,,,,,,,,,,,,,,,,0
Hey We re at Uncle Fung s We had to come over this way to the Amazon locker pick up place Excited to try a new place and new food,,,,,,,,,,,,,,,,,,,,,1
Using Amazon Locker Is Super Easy and Can Save You Time and Money,,,,,,,,,,,,,,,,,,,,,1
I tried to return an Amazon order recently by taking it to the locker The return shipping was the same price whether I took it to the locker or took it to my UPS Store That doesnt make sense to me,,,,,,,,,,,,,,,,,,,,,1
Amazon Locker doesn t seem as convenient as having packages delivered to your house but depending on where you live it might be cheaper or faster than regular delivery By pic twitter com i5nzuEPEBy,,,,,,,,,,,,,,,,,,,,,1
Using Amazon Locker pic twitter com 9f54zHH6eC,,,,,,,,,,,,,,,,,,,,,1
I was supposed to have an item delivered to an amazon locker tried to track the package and it says attempted delivery,,,,,,,,,,,,,,,,,,,,,1
Actually had amazon do this to us at Whole Foods when we got bought out I got asked into the office one day was told to clean out my locker and I was laid off right there on the spot It doesnt shock me I feel for them tho hope they recover better then I did,,,,,,,,,,,,,,,,,,,,,1
That s too bad Amazon locker nearby,,,,,,,,,,,,,,,,,,,,,0
One negative about apparently their campus store doesn t sell textbooks b c the school has partnered w Amazon Students get prime memberships have books delivered to an Amazon locker on campus Uh not with my money,,,,,,,,,,,,,,,,,,,,,0
anyone know of a good music locker for my digital tunes Amazon is retiring their service unfortunately Suppose it s google any viable third party players,,,,,,,,,,,,,,,,,,,,,1
This was supposed to be delivered to an Amazon locker What does deliver attempted even mean in this case Did the package handler knock and no one answered pic twitter com YqmHvQfKF1,,,,,,,,,,,,,,,,,,,,,0
is driving me nuts I have a package that s supposed to go to an Amazon locker and it keeps saying that no one is home to sign for the package wth,,,,,,,,,,,,,,,,,,,,,1
Totally And when there is an Amazon locker in the supermarket next door too that they dont seem to deliver much to either,,,,,,,,,,,,,,,,,,,,,1
an Amazon locker filled with Unknown or false teal lights,,,,,,,,,,,,,,,,,,,,,0
Congratulations on winning the grand prize in Hotaru s Dagashi Giveaway You are now the proud owner of 45 dagashi Lol DM me and I ll send you the details for the Amazon Locker pickup Thanks for participating,,,,,,,,,,,,,,,,,,,,,1
Downloading my collection from my Amazon Music locker It s a fairly unpleasant experience pic twitter com xQO5NFwSyi,,,,,,,,,,,,,,,,,,,,,0
Do you have in s music locker Download your songs before they re gone pic twitter com KUioWy741j,,,,,,,,,,,,,,,,,,,,,1
Amazon s Music Storage Service Will Remove MP3 Files on April 30 Amazon announced last year that it intends to shut down its dedicated cloud music locker Now the company has elaborated on its thinking From a report In an email to Amazon Mu,,,,,,,,,,,,,,,,,,,,,0
No you idiot Not an Amazon locker with feelings an Amazon locker for feelings,,,,,,,,,,,,,,,,,,,,,0
I ordered something at and ask for the delivery in Amazon locker cause Im usually never there when they deliver thinking Ill get my stuff faster that way It was supposed to arrive on the 26th were the 30th its Friday and Monday is a holiday Thank yoh Amazon,,,,,,,,,,,,,,,,,,,,,0
Just saw my first amazon locker How creepy,,,,,,,,,,,,,,,,,,,,,0
16 OFF 2 Pack Combination Padlock INLIFE 4 Digit Padlock for School Gym Locker Sports Locker Fence Toolbox Case Hasp Storage Black pic twitter com PUKaw36ltT,,,,,,,,,,,,,,,,,,,,,0
Just bought The Gaffer Selwyn Froggit DVDs been Morrisons twice today forgot theyre in the Amazon locker Third time lucky I guess,,,,,,,,,,,,,,,,,,,,,1
Amazons Music Storage service will remove your MP3 files on April 30th The cloud MP3 locker is being shut down so go save your music while you still can twitter com k3hAHhmMA9,,,,,,,,,,,,,,,,,,,,,0
Check you digital goods locker on Amazon The code should be there At least I think that is what it s called But yea I have noticed them doing that lately as well,,,,,,,,,,,,,,,,,,,,,0
When you only just find out Amazon Locker is a free service and suddenly you wanna order a bunch of risky items you dont want your mother in law going though,,,,,,,,,,,,,,,,,,,,,1
We ve known since last year that Amazon Music was planning to shut down its dedicated cloud music locker Now we have a date for when that,,,,,,,,,,,,,,,,,,,,,0
Weve known since last year that Amazon Music was planning to shut down its dedicated cloud music locker Now we have a date for when that process will begin In an ,,,,,,,,,,,,,,,,,,,,,0
Look this is an amazon locker Imaginable twitter com DDrgVLbczW,,,,,,,,,,,,,,,,,,,,,1
Amazon is discontinuing its MP3 storage locker on April 30th One more reason to move your music to doubleTwist CloudPlayer that works with Dropbox OneDrive and Google Drive ,,,,,,,,,,,,,,,,,,,,,1
Oh the AMAZON LOCKER IS CLUTCH,,,,,,,,,,,,,,,,,,,,,1
16 OFF 2 Pack Combination Padlock INLIFE 4 Digit Padlock for School Gym Locker Sports Locker Fence Toolbox Case Hasp Storage Black pic twitter com kZwNWeBUX1,,,,,,,,,,,,,,,,,,,,,0
What do you mean by step back warning at Amazon Locker,,,,,,,,,,,,,,,,,,,,,0
Ive been using the doddle and amazon locker a lot because of theft and unreliable couriers,,,,,,,,,,,,,,,,,,,,,1
Just went to the amazon store to pick up a package and its soooooo fuckin cool Theres lockers and all you do is scan the barcode from you amazon app the locker your package is in opens you grab it an me leave Thanks,,,,,,,,,,,,,,,,,,,,,1
 Amazon TSA Lock 2 Pack Your Own Lock for Gym Luggage Filing Cabinets Toolbox Case Rate 4 2 7 49 53 OFF Ends in 02 47 50,,,,,,,,,,,,,,,,,,,,,1
Last 25 Days we lost X Toys R Us liquidation Claire s plans bankruptcy Best Buy closing 257 Kay Jared Zales closing 200 XAnn Taylor co closing 400 Foot Locker closing 110 Mattress Firm closing 175 Bi LO Winn Dixie closing 94 A F closing 60 The Walking Co bankrupt But Amazon,,,,,,,,,,,,,,,,,,,,,1
Does anyone know how to set your amazon wish list to deliver to a locker I don t wanna use my real address,,,,,,,,,,,,,,,,,,,,,1
been reaching out regarding a fantastic Locker arrangement here in downtown Phoenix nothing back yet so trying a quick tweet,,,,,,,,,,,,,,,,,,,,,1
 Amazon TSA Lock 2 Pack Your Own Lock for Gym Luggage Filing Cabinets Toolbox Case Rate 4 2 7 49 53 OFF Ends in 04 48 10,,,,,,,,,,,,,,,,,,,,,1
i hope i look as cool as i feel when i pick up stuff from my locker,,,,,,,,,,,,,,,,,,,,,1
What I don t understand with is that I can get next day delivery to my house tomorrow but to an Amazon locker would not occur until next Tuesday in 5 days time wtf The locker is about 5 minutes walk away and the Amazon depot about 10 minutes away,,,,,,,,,,,,,,,,,,,,,0
If by postal system he means USPS which is pretty incompetent already then then technically thats UPSs doing Amazon ships through UPS not USPS But thatll be slowing changing with Amazon Locker Trump just mad that Bezos has more money than he does,,,,,,,,,,,,,,,,,,,,,0
73 OFF KeeKit Combination Lock 2 Pack 4 Digit Anti Rust Padlock Set Weatherproof Lock Padlock Gate Lock Gym Lock Locker Lock for School Gym Sports Locker Outdoor S pic twitter com Z9AsRpHGcD,,,,,,,,,,,,,,,,,,,,,1
Trying to order a pre release book from and get it delivered to an Amazon Locker but it keeps telling me that every locker I select is full But how can it be full with over a week before the book is released,,,,,,,,,,,,,,,,,,,,,1
Amazon Locker update,,,,,,,,,,,,,,,,,,,,,1
can I PM you with a question about shipping restrictions to an Amazon locker,,,,,,,,,,,,,,,,,,,,,1
Oh and ALSO I forgot the most important thing we put googley eyes on our Amazon locker at work pic twitter com 3ZFZSma0q2,,,,,,,,,,,,,,,,,,,,,1
First thanks for the step back warning at the Locker It would have smacked me in the face Second when are we gonna get a parking spot for Amazon Locker pick ups at,,,,,,,,,,,,,,,,,,,,,1
Yeah my Amazon order from USPS got here just fine but it also just went into the parcel locker Lazy fucks,,,,,,,,,,,,,,,,,,,,,1
my coworker told me to buy one off amazon and have it delivered to a drop off locker in NY seems like the best plan,,,,,,,,,,,,,,,,,,,,,1
Anyone every use Amazon locker,,,,,,,,,,,,,,,,,,,,,1
This arrived at my amazon locker today Thats Easter sorted pic twitter com BGYC7OLcqj,,,,,,,,,,,,,,,,,,,,,1
Ordering 10 pairs of socks delivered to an Amazon locker only to find when they get there that you ve ordered sizes UK 3 5,,,,,,,,,,,,,,,,,,,,,1
Interesting to see how the locker concept is impacting More consumers are making short stops w lockers These short micro visits can be from 3 5 mins long are up by 11 since Amazon closed its purchase of WFM ,,,,,,,,,,,,,,,,,,,,,1
when into you comes on but it s just that episode of spongebob with the fact that i chose to use an amazon locker to pickup these new ones,,,,,,,,,,,,,,,,,,,,,1
why can I use an amazon locker location to pick up purchased items just about anywhere but not to return things for free the fact that i have to pay a ups store to return something is ridiculous especially when the return fee is equivalent to the refund,,,,,,,,,,,,,,,,,,,,,1
less than one month after i found it probably has to do with the fact that i chose to use an amazon locker to pickup these new ones,,,,,,,,,,,,,,,,,,,,,0
Yeah thats awesome Thanks I appreciate it and I never been to Wrigley ever and we are both die hard fans The closest I been is at that 7 11 across the street I installed the amazon locker at that location Closest I been Hoping and praying we can go,,,,,,,,,,,,,,,,,,,,,1
Raging at UK my stuff is in the locker with a code that doesn t work one week I now have to wait having gone prime,,,,,,,,,,,,,,,,,,,,,1
The Amazon locker in Sky Central is a big plus too,,,,,,,,,,,,,,,,,,,,,1
So called micro visits of 3 to 5 minutes have increased 11 percent since the Amazon buyout in stores with Amazon Locker banks where customers of the online retailer can pick up or drop off packages according to location data advertising firm inMarket,,,,,,,,,,,,,,,,,,,,,0
Our first amazon locker has been installed at Solihull twitter com y1YKkyBZ9P,,,,,,,,,,,,,,,,,,,,,1
So my reorder of the items that were undeliverable the first time because they went to and are being sent back to the sellers are supposed to be at the Amazon locker tomorrow and haven t shipped yet,,,,,,,,,,,,,,,,,,,,,1
Using Amazon Locker Is Super Easy and Can Save You Time and Money pic twitter com cQ0eLvwPkk,,,,,,,,,,,,,,,,,,,,,1
