,Text,,,,,,,,,,,,,,,,,,,,,Label
118,The Hurt Locker Blu Ray 9 49 at Amazon Found by lucerysmum Amazon UK Deals The Hurt Locker Blu Ray 9 49 at Am,,,,,,,,,,,,,,,,,,,,,1
119,Deal The Hurt Locker Blu Ray 9 49 at Amazon Found by lucerysmum Amazon UK Deals The Hurt Locker Blu Ray 9 49,,,,,,,,,,,,,,,,,,,,,1
120,The Hurt Locker Blu Ray 9 49 at Amazon,,,,,,,,,,,,,,,,,,,,,1
122,Playing Teal Fortress 2 While we wait for Hurt Locker to download from Amazon,,,,,,,,,,,,,,,,,,,,,1
123,Davy Jones Locker by System 7 amazon,,,,,,,,,,,,,,,,,,,,,1
124,On sale at Amazon Markwort Baseball Glove Locker,,,,,,,,,,,,,,,,,,,,,1
126,Markwort Baseball Glove Locker,,,,,,,,,,,,,,,,,,,,,1
133,Just saw this on Amazon Markwort Baseball Glove Locker by Markwort Sep 29 2009 for 9 72,,,,,,,,,,,,,,,,,,,,,1
134,Looking forward to Friday so I can finally watch Hurt Locker from Amazon Unboxed on my TIVO,,,,,,,,,,,,,,,,,,,,,1
135,The Hurt Locker Video On Demand Jeremy Renner 100 Sales Rank in Amazon Video On Demand 2 was 4 yesterday,,,,,,,,,,,,,,,,,,,,,0
137,Got The Hurt Locker frm Amazon Video on Tivo hope it is good,,,,,,,,,,,,,,,,,,,,,1
142,Just ordered Hurt Locker for 5 99 of amazon not bad,,,,,,,,,,,,,,,,,,,,,1
143,Great deal on Amazon M C G Textiles MCG Publishing Fabric Locker Hooking MCG 38550 by M C G Textiles,,,,,,,,,,,,,,,,,,,,,1
145,Locker Room Re Will Amazon stop selling in NC altogether CNET has an article describing some of the details of,,,,,,,,,,,,,,,,,,,,,1
146,Great deal on Amazon The Hurt Locker by Jeremy Renner Anthony Mack,,,,,,,,,,,,,,,,,,,,,1
149,On sale at Amazon Duke Blue Devils 2010 Champions Locker Room T Shirt,,,,,,,,,,,,,,,,,,,,,1
163,2010 Men s Final Four NIKE Duke Blue Devils Champions Locker Room Cap,,,,,,,,,,,,,,,,,,,,,1
165,NetFlix just delivered The Hurt Locker for us tonight kind of them And Amazon sent my boy a Ben 10 figure Good day for deliveries,,,,,,,,,,,,,,,,,,,,,1
167,Last night saw Hurt Locker and picked up War is a Force that Gives Us Meaning Generation Kill Joystick Soldiers en route from Amazon,,,,,,,,,,,,,,,,,,,,,1
168,Foot Locker No soccer shoes Of course not It s Soccer West or amazon then,,,,,,,,,,,,,,,,,,,,,1
169,I ordered The Hurt Locker Amazon s jury seems hung,,,,,,,,,,,,,,,,,,,,,1
170,Best prices at Amazon for The Hurt Locker Blu ray 2008 are new 10 99 used 9 00,,,,,,,,,,,,,,,,,,,,,1
171,Purchased Hurt Locker from amazon with discount voucher Will watch again as its a great film,,,,,,,,,,,,,,,,,,,,,1
172,Amazon Save Big in Toy A Childsupply Coat Locker No F8061,,,,,,,,,,,,,,,,,,,,,1
173,Check out this Amazon deal The Complete Idiot s Guide to Amazing Sex Third Edi by Sari Locker Paperback Au,,,,,,,,,,,,,,,,,,,,,0
174,Check out this Amazon deal The Hurt Locker by Jeremy Renner Anthony Mack,,,,,,,,,,,,,,,,,,,,,1
175,ahh now I ll have to wait until Hurt Locker is in my netflix queue was going to rent on Amazon,,,,,,,,,,,,,,,,,,,,,1
177,The Hurt Locker Blu ray 2008 is now on sale for 11 49 at Amazon Product page,,,,,,,,,,,,,,,,,,,,,1
178,Just saw this on Amazon The Hurt Locker,,,,,,,,,,,,,,,,,,,,,1
180,The Hurt Locker DVD 2008 7 00 plus Free Delivery at Amazon,,,,,,,,,,,,,,,,,,,,,1
182,Great deal on Amazon Near Dark Blu ray by Lance Henriksen Adrian Pas Frm the director of The Hurt Locker,,,,,,,,,,,,,,,,,,,,,1
183,Diggin Amazon Prime ordered The Hurt Locker Inglorious Basterds with 2 Day shipping 9pm last night at my door when I got home TODAY,,,,,,,,,,,,,,,,,,,,,1
184,locker mirror magnetic pen holder for my locker Amazon is deadly,,,,,,,,,,,,,,,,,,,,,0
188,Great deal on Amazon The Hurt Locker by Jeremy Renner Anthony Mack You Save 9 00 33,,,,,,,,,,,,,,,,,,,,,1
189,Great deal on Amazon The Hurt Locker Blu ray by Jeremy Renner Anthony Mack,,,,,,,,,,,,,,,,,,,,,1
191,The Hurt Locker DVD 2008 The Hurt Locker DVD 2008 DVD Jeremy Renner 81 days in the top 10,,,,,,,,,,,,,,,,,,,,,1
192,The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 200 Sales Rank in Amazon Vide,,,,,,,,,,,,,,,,,,,,,0
194,The Hurt Locker Video On Demand Jeremy Renner 200 Sales Rank in Amazon Video On Demand 1 was 3 239 Downloa,,,,,,,,,,,,,,,,,,,,,0
195,The Hurt Locker Video On Demand Jeremy Renner 200 Sales Rank in Amazon Video On Demand 1 was 3 238 Downloa,,,,,,,,,,,,,,,,,,,,,0
197,I just ordered The Hurt Locker on BD from Amazon UK,,,,,,,,,,,,,,,,,,,,,1
198,madness continues Action Adventure The Hurt Locker RT@Amazon DVD Club,,,,,,,,,,,,,,,,,,,,,1
199,Anyone seen The Hurt Locker Just arrived from Amazon,,,,,,,,,,,,,,,,,,,,,1
200,The Hurt Locker Blu ray 2008 The Hurt Locker Blu ray 2008 Blu ray Jeremy Renner 64 days i,,,,,,,,,,,,,,,,,,,,,1
201,Any movie recs from Amazon on demand Precious Hurt Locker Sherlock Holmes Yea or nay Other good ones,,,,,,,,,,,,,,,,,,,,,1
203,The Hurt Locker Blu ray 2008 is now on sale for 9 95 at Amazon Product page,,,,,,,,,,,,,,,,,,,,,1
204,The Hurt Locker and Inglorious Basterds on Blue Ray sent by Amazon de yesterday evening Shipment hopefully on Monday,,,,,,,,,,,,,,,,,,,,,1
205,Great deal on Amazon Dvd The Hurt Locker by Jeremy Renner Anthony Mack You Save 9 00 33,,,,,,,,,,,,,,,,,,,,,1
206,My Hurt Locker BD turned up today as did the first volume of Transmetropolitan Good ol Amazon,,,,,,,,,,,,,,,,,,,,,1
207,HMV and Amazon both say Hurt Locker s getting a big Oscar bounce on DVD Sales up 400 at Amazon,,,,,,,,,,,,,,,,,,,,,1
208,The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 223 Download 3 99 Ranki,,,,,,,,,,,,,,,,,,,,,1
209,The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 59 days in the top 100 223,,,,,,,,,,,,,,,,,,,,,1
210,Amazon Digital Video The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 223 Downlo New Release,,,,,,,,,,,,,,,,,,,,,1
211,The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 58 days in the top 100 223,,,,,,,,,,,,,,,,,,,,,1
213,Amazon s Most Gifted The Hurt Locker The Hurt Locker DVD Jeremy Renner 68 days in the top 100 221 Buy n,,,,,,,,,,,,,,,,,,,,,1
214,Great deal on Amazon Dvd The Hurt Locker by Jeremy Renner Anthony Mack You Save 9 00 33 In stock on March 14,,,,,,,,,,,,,,,,,,,,,1
215,The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 219 Download 3 99 Ranki,,,,,,,,,,,,,,,,,,,,,1
216,The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 58 days in the top 100 219,,,,,,,,,,,,,,,,,,,,,1
217,Amazon s Most Gifted The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 58 days in the top 100,,,,,,,,,,,,,,,,,,,,,1
219,The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 218 Download 3 99 Ranki,,,,,,,,,,,,,,,,,,,,,1
220,The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 58 days in the top 100 218,,,,,,,,,,,,,,,,,,,,,1
222,The Hurt Locker Blu ray 2008 The Hurt Locker Blu ray 2008 Blu ray Jeremy Renner 61 days i,,,,,,,,,,,,,,,,,,,,,1
223,Hurt Locker Oscars May Double Box Office Sales The Iraq war drama was the most rented movie yesterday on Amazon,,,,,,,,,,,,,,,,,,,,,1
224,Amazon s Most Gifted The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 57 days in the top 100,,,,,,,,,,,,,,,,,,,,,1
225,Check out this Amazon deal The Hurt Locker by Jeremy Renner Anthony Mack You Save 9 00 33,,,,,,,,,,,,,,,,,,,,,1
228,Weird Hurt Locker wins best picture gets CHEAPER on Amazon That s not only surprising it s annoying seeing I bought my copy already,,,,,,,,,,,,,,,,,,,,,1
229,Amazon s Most Gifted The Hurt Locker The Hurt Locker DVD Jeremy Renner 67 days in the top 100 211 Buy ne,,,,,,,,,,,,,,,,,,,,,1
230,Check out this deal The Hurt by Jeremy Renner Anthony Mack,,,,,,,,,,,,,,,,,,,,,1
231,Hurt Locker most rented movie on Apple s iTunes Amazon s video on demand service after its Oscar win,,,,,,,,,,,,,,,,,,,,,1
232,Great deal on Amazon The Hurt Locker Blu ray Price 22 99 You Save 12 00 34 In stock on March 14 Order it now,,,,,,,,,,,,,,,,,,,,,1
233,The Hurt Locker on Blu Ray for 23 at Amazon,,,,,,,,,,,,,,,,,,,,,1
234,Oh Yea My Hurt Locker Bluray disc arrived from Amazon a day after it won the Oscar,,,,,,,,,,,,,,,,,,,,,1
237,On sale at Amazon The Hurt Locker,,,,,,,,,,,,,,,,,,,,,1
238,Amazon Blu Ray and DVD Sale The Hurt Locker Up The Hangover Star Trek The Blind Side Up in the Air and more,,,,,,,,,,,,,,,,,,,,,1
241,The Hurt Locker Oscar winner is available now on Amazon and in stores,,,,,,,,,,,,,,,,,,,,,1
242,Just bought The Hurt Locker on Blu Ray from Amazon,,,,,,,,,,,,,,,,,,,,,1
245,Is it bad that I found out The Hurt Locker won best Movie in an e mail from Amazon,,,,,,,,,,,,,,,,,,,,,1
246,The Hurt Locker Video On Demand Jeremy Renner 205 Sales Rank in Amazon Video On Demand 40 was 122 201 Down,,,,,,,,,,,,,,,,,,,,,0
247,The Hurt Locker The Hurt Locker MP3 Download by Marco Beltrami Buck Sanders 1 692 Sale,,,,,,,,,,,,,,,,,,,,,1
248,Watched The Hurt Locker last night saw a better Drag Me to Hell trailer ordered it 5 from amazon,,,,,,,,,,,,,,,,,,,,,1
249,Watch Oscar Winner The Hurt Locker 3 99 at Amazon,,,,,,,,,,,,,,,,,,,,,1
251,dh amazon has sent me District9 instead of Hurt Locker first time ever that I ve had a wrong shipment from Amazon,,,,,,,,,,,,,,,,,,,,,0
252,The Hurt Locker DVD 2008 The Hurt Locker DVD 2008 DVD Jeremy Renner 74 days in the top 10,,,,,,,,,,,,,,,,,,,,,1
253,The Hurt Locker Blu ray 2008 The Hurt Locker Blu ray 2008 Blu ray Evangeline Lilly 59 day,,,,,,,,,,,,,,,,,,,,,1
255,The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 190 Sales Rank in Amazon Vide,,,,,,,,,,,,,,,,,,,,,0
256,The Hurt Locker Video On Demand Jeremy Renner 190 Sales Rank in Amazon Video On Demand 40 was 116 201 Down,,,,,,,,,,,,,,,,,,,,,0
257,hurt locker was 9 quid on amazon u can lend mine though when I comes,,,,,,,,,,,,,,,,,,,,,1
258,Amazon s Most Gifted The Hurt Locker The Hurt Locker DVD Jeremy Renner 65 days in the top 100 200 Buy ne,,,,,,,,,,,,,,,,,,,,,1
259,Amazon s Most Gifted The Hurt Locker Blu ray The Hurt Locker Blu ray Blu ray Jeremy Renner 66 days in,,,,,,,,,,,,,,,,,,,,,1
260,The Hurt Locker The Hurt Locker MP3 Download by Marco Beltrami Buck Sanders 2 109 Sale,,,,,,,,,,,,,,,,,,,,,1
261,Winners The Cove The Hurt Locker and Inglorious Bastards are on Amazon OnDemand Now www bit ly cHunYQ,,,,,,,,,,,,,,,,,,,,,1
262,yes i did just buy THE HURT LOCKER in blu ray off amazon,,,,,,,,,,,,,,,,,,,,,1
263,Hurt Locker comments on Amazon Most like it but many find it boring Huh Did they watch same movie that I did,,,,,,,,,,,,,,,,,,,,,1
264,if Amazon were smart they would drop THE HURT LOCKER Blu ray to 14 99 and watch the money pile up,,,,,,,,,,,,,,,,,,,,,1
265,RT movies The time has come Kathryn Bigelow wins the directing Oscar for The Hurt Locker It s not her only great film http,,,,,,,,,,,,,,,,,,,,,1
266,I bought hurt locker tonight for 8 bucks on amazon Now its up to 11 12 yep that was smart of me,,,,,,,,,,,,,,,,,,,,,1
267,Haha Amazon is already anticipating running out of copies of THE HURT LOCKER tonight,,,,,,,,,,,,,,,,,,,,,1
268,The Hurt Locker SEE IT NOW You can watch it on demand at Amazon,,,,,,,,,,,,,,,,,,,,,1
269,Hurt Locker Blu ray Sale on Amazon 22 99,,,,,,,,,,,,,,,,,,,,,1
270,heh Amazon is sold out of The Hurt Locker now,,,,,,,,,,,,,,,,,,,,,1
271,Amazon has The Hurt Locker at 33 off,,,,,,,,,,,,,,,,,,,,,1
272,Hurt Locker cleaning house I guess I ll rent it on Amazon FB,,,,,,,,,,,,,,,,,,,,,1
273,Check out this Amazon deal The Hurt Locker Blu ray Oscars 22 99,,,,,,,,,,,,,,,,,,,,,1
275,The Hurt Locker already on Blue Ray on Amazon de I think I ll Order that,,,,,,,,,,,,,,,,,,,,,1
276,RT the Iowan This Amazon free for all is the Nerd Twitter version of a post championship locker room champagne sprayathon,,,,,,,,,,,,,,,,,,,,,1
277,This Amazon free for all is the Nerd Twitter version of a post championship locker room champagne sprayathon It is geek crazy up in here,,,,,,,,,,,,,,,,,,,,,0
279,Amazon s Most Gifted The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 54 days in the top 100,,,,,,,,,,,,,,,,,,,,,1
280,Getting ready to watch The Hurt Locker If more best picture nominees were on Amazon com I d watch more,,,,,,,,,,,,,,,,,,,,,1
281,Tonight trip to Levenger a Chicago style hot dog Tomorrow The Hurt Locker via Amazon on Demand Chicago style pizza,,,,,,,,,,,,,,,,,,,,,1
282,The Hurt Locker Blu ray 2008 11 95 at Amazon UK,,,,,,,,,,,,,,,,,,,,,1
283,Bill Bailey Eddie Izzard Dylan Moran and The hurt locker whisking their way to me thanks to Amazon UK yay for the interwebs,,,,,,,,,,,,,,,,,,,,,1
285,Amazon s Most Gifted The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 52 days in the top 100,,,,,,,,,,,,,,,,,,,,,1
286,Amazon,,,,,,,,,,,,,,,,,,,,,1
290,The Hurt Locker DVD 2008 The Hurt Locker DVD 2008 DVD Jeremy Renner 67 days in the top 10,,,,,,,,,,,,,,,,,,,,,1
291,The Hurt Locker Amazon com Roku player HDTV Geezus I love living in 2010,,,,,,,,,,,,,,,,,,,,,1
292,Amazon s Most Gifted The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 46 days in the top 100,,,,,,,,,,,,,,,,,,,,,1
293,Really enjoy Amazon community Beatles mono review w 366 comments Hurt Locker v Avatar,,,,,,,,,,,,,,,,,,,,,1
294,The Hurt Locker DVD 2008 The Hurt Locker DVD 2008 DVD Anthony Mackie 63 days in the top 1,,,,,,,,,,,,,,,,,,,,,1
295,Bought The Hurt Locker the other day from Amazon and it came in the mail today Powerful film,,,,,,,,,,,,,,,,,,,,,1
296,The Hurt Locker DVD 2008 The Hurt Locker DVD 2008 DVD Anthony Mackie 62 days in the top 1,,,,,,,,,,,,,,,,,,,,,1
297,PEBKAC problem with Amazon ordered the DVD of The Hurt Locker and Moon not the Blu ray version Never mind,,,,,,,,,,,,,,,,,,,,,1
298,Amazon binge completed Films Moon Hurt Locker Inglorious Training Day District 9 Music OK Computer Legend of Johnny Cash,,,,,,,,,,,,,,,,,,,,,1
299,Am considering a little Amazon moment Hurt Locker Moon anything else you know I ll enjoy,,,,,,,,,,,,,,,,,,,,,1
300,Amazon deal Witz GPS Locker,,,,,,,,,,,,,,,,,,,,,1
301,The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 41 days in the top 100,,,,,,,,,,,,,,,,,,,,,1
302,Just found The Hurt Locker and A Serious Man on Amazon com,,,,,,,,,,,,,,,,,,,,,0
304,Amazon s Most Gifted The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 40 days in the top 100,,,,,,,,,,,,,,,,,,,,,1
306,Just bought The Hurt Locker Amazon so I can see what all the fuss is about The question now is will I get it before it s Oscar Time,,,,,,,,,,,,,,,,,,,,,1
307,Snowing sunny odd Found my heart rate monitor yay was indeed in my locker Came home to a box of books from Amazon day s looking up,,,,,,,,,,,,,,,,,,,,,0
308,Just saw this on Amazon New Orleans Saints Super Bowl XLIV Champions Reebok Official Locker Room Flex Fit Hat,,,,,,,,,,,,,,,,,,,,,1
309,Amazon Save Big in Toy Avenir Seat Locker 3mm 2 feet,,,,,,,,,,,,,,,,,,,,,1
310,New Orleans Saints Super Bowl XLIV Champions Locker Room Tee,,,,,,,,,,,,,,,,,,,,,1
311,New Orleans Saints Super Bowl XLIV Champions Reebok Official Locker Room Long Sleeve T Shirt,,,,,,,,,,,,,,,,,,,,,1
313,Reebok New Orleans Saints Super Bowl XLIV Champions Locker Room Hat,,,,,,,,,,,,,,,,,,,,,1
315,New Orleans Saints Super Bowl XLIV Champions Reebok Official Locker Room T Shirt,,,,,,,,,,,,,,,,,,,,,1
317,Hurt Locker District 9 blu rays from Amazon Sticker on the District 9 case What are you waiting for try it in blu ray erm,,,,,,,,,,,,,,,,,,,,,1
319,Just saw this on Amazon The Hurt Locker Blu ray,,,,,,,,,,,,,,,,,,,,,1
320,Check out this Amazon deal Kingston DataTraveler Locker 8 GB USB 2 0 Flash Drive with by Kingston Digital Inc,,,,,,,,,,,,,,,,,,,,,1
328,Amazon s Most Gifted The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 30 days in the top 100,,,,,,,,,,,,,,,,,,,,,1
329,DC if ur stuck inside again tomorrow Amazon VOD suggestion The Hurt Locker w Jeremy Renner,,,,,,,,,,,,,,,,,,,,,1
330,Amazon s Most Gifted New Orleans Saints Super Bowl XLIV Champions Reebok Official Locker Room Flex Fit Hat Ne,,,,,,,,,,,,,,,,,,,,,1
331,New Orleans Saints Super Bowl XLIV Champions Reebok Official Locker Room Long Sleeve T Shirt X Large,,,,,,,,,,,,,,,,,,,,,1
333,RT Internet New Orleans Saints Super Bowl XLIV Champions Reebok Official Locker Room T Shirt Large,,,,,,,,,,,,,,,,,,,,,1
334,New Orleans Saints Super Bowl XLIV Champions Reebok Official Locker Room T Shirt XX Large,,,,,,,,,,,,,,,,,,,,,1
336,New Orleans Saints Super Bowl XLIV Champions Reebok Official Locker Room T Shirt Medium,,,,,,,,,,,,,,,,,,,,,1
338,New Orleans Saints Super Bowl XLIV Champions Reebok Official Locker Room T Shirt X Large,,,,,,,,,,,,,,,,,,,,,1
340,New Orleans Saints Super Bowl XLIV Champions Reebok Official Locker Room T Shirt Large,,,,,,,,,,,,,,,,,,,,,1
342,New Orleans Saints Super Bowl XLIV Champions Reebok Official Locker Room Flex Fit Hat,,,,,,,,,,,,,,,,,,,,,1
344,Amazon s Most Gifted The Hurt Locker The Hurt Locker Video On Demand Jeremy Renner 28 days in the top 100,,,,,,,,,,,,,,,,,,,,,1
351,The Hurt Locker Ralph Fiennes et al DVD Jan 12 2010 Buy new 17 99 AMAZON COM,,,,,,,,,,,,,,,,,,,,,1
352,New Orleans Saints Super Bowl XLIV Champions Reebok Official Locker Room Long Sleeve T Shirt Large,,,,,,,,,,,,,,,,,,,,,1
353,New Orleans Saints Super Bowl XLIV Champions Reebok Official Locker Room T Shirt 4XL,,,,,,,,,,,,,,,,,,,,,1
356,New Orleans Saints Super Bowl XLIV Champions Reebok Official Locker Room T Shirt Small,,,,,,,,,,,,,,,,,,,,,1
371,fans Amazon has your Super Bowl Locker Room Hat available for sale already,,,,,,,,,,,,,,,,,,,,,1
374,Check out this Amazon deal The Hurt Locker by Ralph Fiennes Anthony Mack,,,,,,,,,,,,,,,,,,,,,1
378,I want to see the Hurt Locker I thinking blu ray order from amazon com,,,,,,,,,,,,,,,,,,,,,1
379,Cheap The Hurt Locker Blu ray 2008 reduced by 52 at Amazon UK,,,,,,,,,,,,,,,,,,,,,1
380,Amazon DVD Deal The Hurt Locker,,,,,,,,,,,,,,,,,,,,,1
381,Amazon DVD Deal The Hurt Locker Blu ray,,,,,,,,,,,,,,,,,,,,,1
382,Best Buy ranked No 1 in mobile homepage performance Walmart Amazon Foot Locker other high scorers,,,,,,,,,,,,,,,,,,,,,1
383,Most recent purchase on Amazon Blu ray version of The Hurt Locker I hope it s worth it,,,,,,,,,,,,,,,,,,,,,1
384,Watched Hurt Locker in HD using Amazon Unbox and my Blu Ray player Looked worked pretty good considering it was streamed over the web,,,,,,,,,,,,,,,,,,,,,1
385,Digital media chaos reigns Xbox Zune MS doesn t have Hurt Locker fortunately Amazon Roku does,,,,,,,,,,,,,,,,,,,,,1
387,I would spend my 50 Amazon gift card from on new blu rays maybe Zombieland Hurt Locker,,,,,,,,,,,,,,,,,,,,,1
389,I would spend my 50 Amazon gift card from on new blu rays Whip It Zombieland Hurt Locker,,,,,,,,,,,,,,,,,,,,,1
391,Just saw this on Amazon Indianapolis Colts 2009 AFC Conference Champions Reebok Locker Room by Reebok for 19 99,,,,,,,,,,,,,,,,,,,,,1
392,Just saw this on Amazon New Orleans Saints 2009 NFC Conference Champions Locker Room Hat by Reebok for 27 99,,,,,,,,,,,,,,,,,,,,,1
