,text,,,,,,,,,,,,,,,,,,,,Neutral,Label
115,IS IT JUST ME or do people who deliver to your door Amazon UPS etc not ring your doorbell either Nine out of 10 times I find out via text or email that somethings been dropped at my door and Im here inside Are delivery people trained not to knock or ring the bell,,,,,,,,,,,,,,,,,,,,N,1
116,Goals coming quicker than Amazon prime delivery,,,,,,,,,,,,,,,,,,,,N,1
117,needs to let is block as a delivery option,,,,,,,,,,,,,,,,,,,,N,1
118,I screwed up and accidentally ordered stuff to my old address It s out for delivery how can I get the delivery address changed so they deliver to my new address tomorrow,,,,,,,,,,,,,,,,,,,,1,1
119,Can we get a I work like a normal person delivery option That doesn t require me to be home anywhere from 7am to 9pm and restricts deliveries to after 5pm,,,,,,,,,,,,,,,,,,,,1,1
120,My neighborhood amazon delivery guy is so fucking fine,,,,,,,,,,,,,,,,,,,,1,1
121,Love that you can have a shotgun purchased and in your hands faster than an Amazon Prime same day delivery ,,,,,,,,,,,,,,,,,,,,1,1
122,Amazon now lets Prime customers schedule orders for the delivery day of their choice  and it s a total game changer Business Insider ,,,,,,,,,,,,,,,,,,,,0,0
123,Have been having this a lot at our office My experience has been that if Amazon has a small inconvenience they bail on the delivery Does not happen with Fedex UPS USPS nearly as much,,,,,,,,,,,,,,,,,,,,0,0
124,Its easy to knock but sometimes like if your vans broken down and you need a tool they dig you out of a hole especially with Prime delivery,,,,,,,,,,,,,,,,,,,,0,0
125,Well youve changed the date of delivery now so clearly not coming Any danger of amazon prime actually coming within next day or shall I cancel my membership,,,,,,,,,,,,,,,,,,,,0,0
126,I my Amazon Subscribe Save monthly delivery,,,,,,,,,,,,,,,,,,,,N,1
127,Hi I am Jamim new I am a graphic designer and photoshop editor so visit my gig and give me your job Please see my gig link I Will Do Amazon Product Editing Background Removal Fast Delivery ,,,,,,,,,,,,,,,,,,,,1,1
128,it was delivery by amazon Im glad its turned up so quick but I live on a busy road Im surprised it was still there tbh,,,,,,,,,,,,,,,,,,,,1,1
129,Check out Amazon Music Unlimited 1 Month Membership Account Fast Delivery Worldwide via,,,,,,,,,,,,,,,,,,,,1,1
130,You still have time for delivery by Easter Benny the Bunny Type 1 Diabetes Easter Coloring Book Available now on Amazon Free Prime Shipping ,,,,,,,,,,,,,,,,,,,,1,1
131,plz help me im expecting a delivery today and it hasnt come Ordered on amazon prime order 203 3510153 6208325 x,,,,,,,,,,,,,,,,,,,,N,1
132,I Had To Follow Up Saturday Based On 4 Reps Lies and UPS Coordinated Lie The Package Was Due Friday and They Caused Arguement and 2nd Level Management Lied About Overnight Delivery Then I Got Lied To Saturday By 4 Amazon Reps and I Am Pissed I Have Asked For Attorney Denied pic twitter com pUBODNBTg6,,,,,,,,,,,,,,,,,,,,0,0
133,Is this you f cking amazon prime You have mentioned that 1day garanteed delivery and i waited till 9pm to the office address and this bullshit amazon showing that delivery attempted wtf Do not renew amazon prime Will upload all proofs with order id pic twitter com bWRvtRFpdV,,,,,,,,,,,,,,,,,,,,0,0
134,Ok if I can t have custom folders like in can you at least give me a News category I m sick of my news subscriptions in the same folder as my Amazon purchase updates and UPS delivery notifications News seems pretty sensible,,,,,,,,,,,,,,,,,,,,0,0
135,ROUTE DELIVERY DRIVER Amazon Deliveries 14 to 16 Per hour Bethpage,,,,,,,,,,,,,,,,,,,,N,1
136,A big fuck you to the Amazon delivery man who came in to my office and was RUDE AS HELL to me Definitely not the day to mess with me,,,,,,,,,,,,,,,,,,,,0,0
137,UP S misdelivered my work package to Amazon and they cant get it back in a timely manner Theyre literally doing nothing Whats the point in guaranteed delivery if you dont even know where my package is Apparently they just get the package from Amazon whenever they feel,,,,,,,,,,,,,,,,,,,,1,1
138,This is what I received from amazon The product was left open and almost half of the shampoo was leaking outside the bottle and this item cannot be returned to amazon as per thier policy delivery pic twitter com ThNWt0QqHZ,,,,,,,,,,,,,,,,,,,,0,0
139,I ordered a tripod and microphone with order no 171 0967390 4612337 on 3rd April 2019 The deadline of the delivery of order was 17 April 2019 but I haven t received it yet Plz look into the matter and send it as soon as possible,,,,,,,,,,,,,,,,,,,,N,1
140,Amazon replied to my email abt my missing preordered book Good news Its at the carrier facility Bad news It was sorted incorrectly Good news Its at the carrier facility Bad news They cant give a delivery date Good news Its at the carrier facility Also Have 5,,,,,,,,,,,,,,,,,,,,1,1
141,YES Had a recent Amazon Business office delivery returned because they could not find the building The building in question LOOMS over a major interstate but mysteriously could not be found by deliverers pic twitter com uTOMzyxsrK,,,,,,,,,,,,,,,,,,,,1,1
142,Had this at a friends place who got it from Dubai check on Amazon if they have it for home delivery,,,,,,,,,,,,,,,,,,,,N,1
143,Anyone else having issues with Amazon s in house Prime delivery service not delivering packages correctly Twice a package has been left at the wrong house or said couldn t gain access to building when no one knocked on our front door No issues with Fedex UPS USPS,,,,,,,,,,,,,,,,,,,,0,0
144,Actually the full name will be Pepsi Presents the Notre DAmazon Cathedral Brought to you by Yogen Fruz We are just so thrilled to be able to rebuild this crucial piece of our citys soul while spreading the gospel of free same day delivery  ,,,,,,,,,,,,,,,,,,,,1,1
145,Wow i just got my first next day delivery from amazon The future is here,,,,,,,,,,,,,,,,,,,,1,1
146,Waiting is legitimately the worst part of buying dice online T T I know for sure that a set I bought off Amazon is arriving tomorrow But the indie dice from Denmark have no tracking so I only have the estimated Etsy delivery date range,,,,,,,,,,,,,,,,,,,,0,0
147,are con artists Where on here does it state that free delivery is only when you spend 20 twitter com 4AhlM76QeI,,,,,,,,,,,,,,,,,,,,1,1
148,You no have Amazon Prime free next day delivery,,,,,,,,,,,,,,,,,,,,1,1
149,Fml Sort it out I didnt pay 5 for next day delivery for no reason you should just send me the camera and keep the money,,,,,,,,,,,,,,,,,,,,N,1
150,Amazon is reportedly using fabric tents to expand its logistics operations in at least eight states The locations called delivery stations are used to house and sort packages before they re delivered to their final location,,,,,,,,,,,,,,,,,,,,0,0
151,2 I just want Amazon s senior management to know they have got to revamp their entire team looking into Amazon India s delivery issues This particular team is highly incompetent to solve customer issues,,,,,,,,,,,,,,,,,,,,0,0
152,Amazon isnt free delivery You just pay for it in advance,,,,,,,,,,,,,,,,,,,,1,1
153,What is the point of Prime 1 day delivery if the last couple of deliveries have been a day late Not the service that was paid for,,,,,,,,,,,,,,,,,,,,0,0
154,I m highly disappointed with Amazon India s customer care I lodged a complaint with them regarding their delivery agent s refusal to deliver my order at my location instead of helping me they have been busy pushing this matter under the carpet,,,,,,,,,,,,,,,,,,,,0,0
155,very worst delivery service,,,,,,,,,,,,,,,,,,,,0,0
156,Taking prime membership is just the waste of money and time as they give us a fake hope of timely delivery my order delivery date was two days ago and despite all the request to deliver it on time due to urgency they haven t delivered till date Pathetic,,,,,,,,,,,,,,,,,,,,0,0
157,Okay let s face this Normal price Rs 196 79 Delivery Charges And for Prime it s flat Rs 349 So do you still say seller is deciding the price here or Amazon is fooling customers under the Prime Scheme Why the heck I should buy your Prime membership,,,,,,,,,,,,,,,,,,,,1,1
158,First thing Ive seen to make me actually consider using my Amazon Prime membership for something other than fast delivery ,,,,,,,,,,,,,,,,,,,,1,1
159,Picture this Order a product on Amazon Rs 50 if you want it by 9am Or free for Prime members delivery by 9pm Chose free option Product anyway delivered 9AM Lol,,,,,,,,,,,,,,,,,,,,1,1
160,Check it out hassan graphic will background size media shop 100 images with quick delivery for 5 on,,,,,,,,,,,,,,,,,,,,1,1
161,Do you think its right that huge corporations like Amazon pay 0 in taxes while their delivery trucks are driving around on public roads That is socialism for the rich,,,,,,,,,,,,,,,,,,,,1,1
162,EASY AMAZON AVAILABLE Handcrafted by artisans of North India SPECIALLY MADE FOR PROFESSIONALS Get Fastest and Safe Delivery at your door From VISHAL INDIA MART AMAZON EASY SHIP Service also available SELLER COmmE,,,,,,,,,,,,,,,,,,,,1,1
163,i dont know how hard it is to deliver these packages but i sure hope amazon conquers the earth asap so we all get to enjoy their drone delivery squadron that also works night shifts fighting evil people such as dog owners who dont pick the shit their doggos leave behind,,,,,,,,,,,,,,,,,,,,0,0
164,I m so sorry your packages are delayed To confirm have you been provided a new delivery date Also were these items shipped from Amazon or the seller directly Please let us know LB,,,,,,,,,,,,,,,,,,,,0,0
165,You order a TV from Amazon but when the delivery comes its a different TV A better TV A TV that costs twice as much as the one your ordered Do you keep it ,,,,,,,,,,,,,,,,,,,,1,1
166,Amazon Home delivery prototype ,,,,,,,,,,,,,,,,,,,,N,1
167,Can t miss the opportunity to add a parking structure Maybe also a shopping mall or Amazon delivery center,,,,,,,,,,,,,,,,,,,,0,0
168,for the win Woke up sick and Amazon Now hooked it up with a quick delivery of medicine soup See you tomorrow everybody And twitter com XYEx1MuLtr,,,,,,,,,,,,,,,,,,,,1,1
169,ATTENTION STUDENTS Get a 6 month FREE trial of Amazon Prime stream thousands of movies and TV shows and get access to exclusive student discounts and get FREE one day delivery cancel at anytime with the click of a button Get it here pic twitter com FQEGlLp5ng,,,,,,,,,,,,,,,,,,,,1,1
170,amazon delivery person decided our safe place was in the bin,,,,,,,,,,,,,,,,,,,,1,1
171,Amazon Next day delivery,,,,,,,,,,,,,,,,,,,,N,1
172,Amazon CVS go head to head I hope same day service solves urgent issues for Rx delivery post discharge CVS expands same day prescription delivery nationwide,,,,,,,,,,,,,,,,,,,,N,1
173,EP 336 In the News challenge IPO points of failure spam China wants to ban adds drone delivery twitter com l7RhREvghn,,,,,,,,,,,,,,,,,,,,0,0
174,So ya all have a package in a town that s a 10 minute drive from me that was supposed to be here yesterday and you can t even get the delivery on time and still leave me in limbo about what s going on with it Talk about giving a BIG middle finger to your customers,,,,,,,,,,,,,,,,,,,,N,1
175,Symon left and Flynx right got a delivery from today A new box They patiently waited until we removed the packing so they could have their way with it pic twitter com 2YLGTjmpKU,,,,,,,,,,,,,,,,,,,,1,1
176,Checking delivery times for amazon I bought a disco ball while drunk yesterday,,,,,,,,,,,,,,,,,,,,0,0
177,Even the Amazon Prime Delivery is sham I have never received any product withing 24 hours It always takes around 3 4 days,,,,,,,,,,,,,,,,,,,,0,0
178,Actually thats not a bad idea It would more successful than the delivery guys using the delivery box This is Amazons picture confirming their delivery yesterday pic twitter com x0MufSn8bM,,,,,,,,,,,,,,,,,,,,1,1
179,So more and more is saying two day delivery which then takes more than two days with no compensation Then when packages are said to be delivered but are not you cannot contact them When I figure out how to do so I get an automated response saying wait two more days,,,,,,,,,,,,,,,,,,,,1,1
180,ppl really be complaining about capitalism inequality etc after getting stoked on their 2 day delivery from Amazon Prime whack,,,,,,,,,,,,,,,,,,,,1,1
181,There isnt anything you can do on your end aside from not using them as carrier Any other amazon package delivery gets left at my door step which I prefer,,,,,,,,,,,,,,,,,,,,0,0
182,My New book HITS THAT MISSED Giving an Insight into the Musical World of the 1950s the era that influenced the Beatles is now available for next day delivery from Amazon Reviews welcome twitter com FZaeT9JV63,,,,,,,,,,,,,,,,,,,,1,1
183,It s not delivery it s Amazon delivery,,,,,,,,,,,,,,,,,,,,N,1
184,could not only host s growing collection of images and transform them for fast delivery we also would enabled them to back up images in their own Amazon S3 bucket,,,,,,,,,,,,,,,,,,,,1,1
186,I Don t Compete Collaborate Be sure to check out our Amazon Merch store Fast Delivery Great Quality Amazing Designs,,,,,,,,,,,,,,,,,,,,1,1
187,Living in a building full of old people owns while I was out the amazon delivery guy just left my package outside my door and nobody stole it it just chilled in the hallway til I got home,,,,,,,,,,,,,,,,,,,,1,1
188,Just answered the door to an Amazon delivery driver and didnt realise I still had my tit out after feeding Caoimhe Parcel wasnt even mine either,,,,,,,,,,,,,,,,,,,,N,1
189,Most of us are concerned with So why don t we choose for slower delivery or wait to pack our purchases into one Amazon and Walmart occasionally offer 1 if we opt to get our packages a couple of days later And we insist that s better t,,,,,,,,,,,,,,,,,,,,1,1
190,your delivery guy tried to charge us 18 euros for a parcel from Amazon that is free delivery The parcel was delayed and now you re charging What the hell,,,,,,,,,,,,,,,,,,,,1,1
191,My new book SUPERSTAR is blowing up so big Amazon is having a tough time keeping up with demand For faster delivery get it from Barnes and Noble pic twitter com KX1uIZrF3T,,,,,,,,,,,,,,,,,,,,1,1
192,worst service by Amazon awaiting for delivery since last 3 days pic twitter com b0sZxSr9nu,,,,,,,,,,,,,,,,,,,,0,0
193,Amazon sets sights on 3rd party delivery service twitter com HNC59C1XUH,,,,,,,,,,,,,,,,,,,,N,1
194,New Market Post Office Hiring The New Market Post Office is hiring right now We are in desperate need of substitute carriers and Sunday Amazon delivery drivers RCAs and ARCs I started working there over ,,,,,,,,,,,,,,,,,,,,0,0
196,I guess good help is hard to find Found these packages laying on the bottom floor stairs of my building Guess the driver didn t like steps Don t worry I finished the delivery for you and made sure they got to the right door pic twitter com ncJdzY8mRR,,,,,,,,,,,,,,,,,,,,1,1
197,At amazon delivery building at work,,,,,,,,,,,,,,,,,,,,N,1
198,Amazon now lets Prime customers schedule orders for the delivery day of their choice pic twitter com zr2UILfPmX,,,,,,,,,,,,,,,,,,,,N,1
199,Amazon really got one day delivery Imagine if they really came to NY I would have shit within hours,,,,,,,,,,,,,,,,,,,,1,1
200,Explain to me why a google home mini is going to take 2 months to shipped while amazon can delivery my order on the same day i placed it,,,,,,,,,,,,,,,,,,,,N,1
201,As firms such as Amazon compete and attempt to build their own new last mile delivery network to compete with UPS and Fedex they are sustaining high costs than utilizing other methods Rokee plans on using in the near future ,,,,,,,,,,,,,,,,,,,,1,1
202,Amazon acquires robotic delivery startup Canvas Technology,,,,,,,,,,,,,,,,,,,,0,0
203,Next delivery tomorrow morning in Myrtle Creek Oregon Amazon FC RN04 in Reno NV,,,,,,,,,,,,,,,,,,,,N,1
204,Every since switched their delivery system my packages never arrive in 2 days anymore,,,,,,,,,,,,,,,,,,,,N,1
205,It just says were working with the carrier to get your package back on track This got dispatched Friday I pay for amazon prime to get faster delivery and to have my pre orders on time but this happens,,,,,,,,,,,,,,,,,,,,N,1
206,Just says delivery by amazon,,,,,,,,,,,,,,,,,,,,N,1
207,CA821702417IN speed post tracking id my booking ordered from Amazon products just jelly last delivery date 9th April but today is 17th April seller kirana market why not delivered my ordered why not help Amazon,,,,,,,,,,,,,,,,,,,,N,1
208,you have charged Rs 470 for a product I subscribed for when it is available for Rs 467 in normal delivery and Rs 420 for subscription Sheer luck i noticed customer service donnot have an option for raising overcharging issues Order ID 407 2435804 0444348,,,,,,,,,,,,,,,,,,,,1,1
209,Amazon now lets Prime customers schedule orders for the delivery day of their choice  and it s a total game changer,,,,,,,,,,,,,,,,,,,,0,0
210,Even better is the moron who told me Because you ve had repeated issues with our Amazon Logistics delivery service I ve made an exception and prioritized other available carriers for future deliveries to your shipping an exception Really,,,,,,,,,,,,,,,,,,,,1,1
211,Will Ambati Rayudu play with his new 3D glasses Hope he used Amazon Prime one day delivery,,,,,,,,,,,,,,,,,,,,1,1
212,Google just beat Amazon to launching one of the first drone delivery services Even employees think they did it first pic twitter com SiXwVc3178,,,,,,,,,,,,,,,,,,,,1,1
213,Would be great if published the Mueller report with overnight delivery so I dont have to read 400 pages on a screen,,,,,,,,,,,,,,,,,,,,1,1
214,isn t replicating level of service in the restaurant industry ,,,,,,,,,,,,,,,,,,,,N,1
215,Cash on delivery system on amazon japan Revolutionary,,,,,,,,,,,,,,,,,,,,N,1
216,By giving customers the ability to get instant credit repurchase a new item immediately before even shipping the item back gives retailers the ability to finally compete with delivery and customer services Proud investor ,,,,,,,,,,,,,,,,,,,,1,1
217,A local man reported his dog bit another man after previously attacking an Amazon delivery person in this week s police blotter,,,,,,,,,,,,,,,,,,,,0,0
218,I think the Amazon delivery man caught me beating my dick,,,,,,,,,,,,,,,,,,,,N,1
219,When amazon say release date delivery but still hasnt been delivered,,,,,,,,,,,,,,,,,,,,N,1
220,Unfortunately our delivery service is not available in your area We recommend ordering from an online retailer like Amazon or Walmart and they will be able to deliver our products right to your door,,,,,,,,,,,,,,,,,,,,1,1
221,These amazon delivery drivers are different,,,,,,,,,,,,,,,,,,,,N,1
222,U should get more of a mention Top service from them Better pricing n delivery than amazon,,,,,,,,,,,,,,,,,,,,1,1
223,Amazon Prime 60 next day delivery 40 micro managing deliveries,,,,,,,,,,,,,,,,,,,,N,1
224,i can guarantee my amazon delivery will arrive dead on 8pm,,,,,,,,,,,,,,,,,,,,0,0
225,Thats new Before it was 8pm now it s 9pm Hey Amazon the only delivery I m waiting for at that time is a pizza Cranston Rhode Island ,,,,,,,,,,,,,,,,,,,,1,1
